Filename,Valid_Extension
5348024557505796_f708_chunk_17_subchunk_1_4_5_3_1.wav,True
5348024557505813_f1831_chunk_0_subchunk_1_3_4_5_1.mp3,False
5348024557504926_f109_chunk_17_subchunk_1_4_3_1.mp3,False
5348024557505216_f633_chunk_8_subchunk_1_3_5_1.wav,True
5348024557505385_f749_chunk_0_subchunk_1_4_3_5_1.mp3,False
5348024557504819_f22_chunk_8_subchunk_1_3_5_4.wav,True
5348024557506060_f910_chunk_0_subchunk_1_5_4_3_1.wav,True
5348024557505457_f264_chunk_8_subchunk_1_5_3_4_1.wav,True
5348024557505870_f315_chunk_1_subchunk_1_4_3_1.mp3,False
5348024557505335_f460_chunk_1_subchunk_1_4_3_1.wav,True
5348024557505599_f1999_chunk_0_subchunk_1_5_3_4_1.wav,True
5348024557505756_f1676_chunk_0_subchunk_1_4_3_5_1.mp3,False
5348024557506111_f2110_chunk_0_subchunk_1_3_5_1.wav,True
5348024557505796_f708_chunk_32_subchunk_1_4_3_1.mp3,False
5348024557506023_f230_chunk_0_subchunk_1_4_3_5_1.mp3,False
5348024557505681_f594_chunk_1_subchunk_1_3_5_4.wav,True
5348024557504819_f22_chunk_1_subchunk_1_4_5_1.wav,True
5348024557505272_f76_chunk_4_subchunk_1_3_5_1.wav,True
5348024557505926_f493_chunk_0_subchunk_1_3_5_4_1.mp3,False
5348024557505330_f124_chunk_3_subchunk_1_5_4_3_1.wav,True
5348024557504942_f456_chunk_10_subchunk_1_3_5_1.mp3,False
5348024557504819_f22_chunk_7_subchunk_1_4_5_3_1.mp3,False
5348024557504879_f654_chunk_7_subchunk_1_5_3_4_1.mp3,False
5348024557505399_f701_chunk_8_subchunk_1_5_3_4.wav,True
5348024557504879_f654_chunk_6_subchunk_1_3_4_5_1.wav,True
5348024557505555_f58_chunk_5_subchunk_1_3_5_4_1.mp3,False
5348024557504942_f456_chunk_12_subchunk_1_5_4_1.wav,True
5348024557504926_f109_chunk_16_subchunk_1_4_5_3_1.wav,True
5348024557504986_f426_chunk_0_subchunk_1_3_5_1.mp3,False
5348024557505796_f708_chunk_20_subchunk_1_3_4_1.wav,True
5348024557505345_f339_chunk_3_subchunk_1_5_4_1.wav,True
5348024557505750_f409_chunk_2_subchunk_1_4_5_3_1.mp3,False
5348024557504879_f654_chunk_11_subchunk_1_4_3_5_1.wav,True
5348024557505841_f1833_chunk_0_subchunk_1_5_4_3.wav,True
5348024557506021_f68_chunk_4_subchunk_1_3_4_5_1.wav,True
5348024557506146_f745_chunk_10_subchunk_1_3_4_5_1.wav,True
5348024557504899_f1820_chunk_0_subchunk_1_3_5_1.mp3,False
5348024557506147_f694_chunk_5_subchunk_1_3_5_1.wav,True
5348024557505049_f197_chunk_1_subchunk_1_4_5_1.mp3,False
5348024557506072_f1869_chunk_0_subchunk_1_4_3_5_1.wav,True
5348024557505797_f149_chunk_14_subchunk_1_3_4_5_1.mp3,False
5348024557505461_f253_chunk_10_subchunk_1_5_4_3_1.mp3,False
5348024557505744_f648_chunk_2_subchunk_1_3_4_5_1.wav,True
5348024557506099_f324_chunk_8_subchunk_1_4_5_1.mp3,False
5348024557504926_f109_chunk_11_subchunk_1_5_4_1.wav,True
5348024557505816_f895_chunk_0_subchunk_1_3_4_1.wav,True
5348024557505642_f2018_chunk_0_subchunk_1_5_3_1.mp3,False
5348024557504926_f109_chunk_29_subchunk_1_5_3_4_1.wav,True
5348024557505399_f701_chunk_0_subchunk_1_4_3_1.wav,True
5348024557505461_f253_chunk_8_subchunk_1_3_4_1.mp3,False
5348024557505537_f817_chunk_0_subchunk_1_4_5_1.mp3,False
5348024557505827_f1829_chunk_0_subchunk_1_4_3_5_1.wav,True
5348024557505797_f149_chunk_8_subchunk_1_5_4_3_1.mp3,False
5348024557505927_f244_chunk_0_subchunk_1_5_4_1.wav,True
5348024557506113_f985_chunk_0_subchunk_1_3_5_4_1.mp3,False
5348024557505114_f434_chunk_1_subchunk_1_4_5_3_1.mp3,False
5348024557505555_f58_chunk_6_subchunk_1_3_5_4.wav,True
5348024557505457_f264_chunk_3_subchunk_1_3_5_4_1.wav,True
5348024557505063_f1039_chunk_0_subchunk_1_5_3_1.mp3,False
5348024557505770_f2223_chunk_0_subchunk_1_5_4_1.wav,True
5348024557504942_f456_chunk_2_subchunk_1_5_3_4_1.wav,True
5348024557505915_f80_chunk_0_subchunk_1_5_3_1.wav,True
5348024557505917_f622_chunk_5_subchunk_1_4_5_3_1.mp3,False
5348024557504942_f456_chunk_9_subchunk_1_3_5_4_1.mp3,False
5348024557505282_f444_chunk_5_subchunk_1_5_3_4_1.mp3,False
5348024557504879_f654_chunk_7_subchunk_1_5_3_4_1.wav,True
5348024557505919_f241_chunk_2_subchunk_1_3_5_1.wav,True
5348024557505818_f1827_chunk_0_subchunk_1_3_4_5_1.mp3,False
5348024557505967_f228_chunk_0_subchunk_1_5_4_3.wav,True
