filename,ground_truth,normalized_transcripts,domain
5348024557509054_f295_chunk_8_subchunk_1.wav,बोले एक छोटे बच्चे को तुम नहीं समझा सकते हो,बोले एक छोटे बच्चे को तुम नहीं समझा सकते हो,Conversation
5348024557509054_f295_chunk_9_subchunk_1.wav,bole नहीं,bole नहीं,Conversation
5348024557509055_f95_chunk_0_subchunk_1.wav,आजकल लेकिन थे समझते पहले हम किताब हुआ किया</b> [Print],आजकल लेकिन थे समझते पहले हम किताब हुआ किया ,Conversation
5348024557509055_f95_chunk_10_subchunk_1.wav,तो<b> वह ज़[START]्यादा देर,तो वह ज़्यादा देर,Conversation
5348024557509055_f95_chunk_11_subchunk_1.wav,for example भौतिक पुस्तक,for example भौतिक पुस्तक,Education
5348024557509055_f95_chunk_12_subchunk_1.wav,यह बिल्कुल गलत है।।है लगता अच्छा ज़्यादा,यह बिल्कुल गलत है।।है लगता अच्छा ज़्यादा,Conversation
5348024557509055_f95_chunk_13_subchunk_1.wav,पुस्तक ऑडियो ऑडि</b>यो है सुन#$%ा बुक ऑडियो <b>म[START]ैंने हाँ।यह बिल्कुल for example गलत है।,पुस्तक ऑडियो ऑडियो है सुना बुक ऑडियो मैंने हाँ।यह बिल्कुल for example गलत है।,Conversation
5348024557509055_f95_chunk_14_subchunk_1.wav,यह बिल्कुल गलत है।।उसमें क्योंकि है लगता,यह बिल्कुल गलत है।।उसमें क्योंकि है लगता,Conversation
5348024557509055_f95_chunk_15_subchunk_1.wav,during से,during से,"The provided transcript is incomplete. However, based on the word ""से"" (se), which is a common Hindi preposition, it's difficult to determine the domain with certainty. 

If I had to make an educated guess, I would say the domain is likely 'Conversation'."
5348024557509055_f95_chunk_16_subchunk_1.wav,चीज़ों क[START]<b>ो दर्शाया जा स</b>कता#$% है,चीज़ों को दर्शाया जा सकता है,"Based on the given transcript, ""चीज़ों को दर्शाया जा सकता है"", which translates to ""Things can be shown"", it appears to be a general statement. However, considering the broadness of the statement, I would categorize the domain as 'Conversation' or 'Education', but given the lack of more specific context, I would lean towards 'Conversation'."
5348024557509055_f95_chunk_17_subchunk_1.wav,लेकिन मुझे किताबें पढ़ना ऑडीयौ [Audio] बुक [Book] और ई-बूक [E-Book] से ज्यादा पसंद है,लेकिन मुझे किताबें पढ़ना ऑडीयौ  बुक  और ई-बूक  से ज्यादा पसंद है,"Based on the given transcript, the general domain of the speech dataset appears to be 'Conversation' or 'Education', but more specifically, it seems to be related to 'Reading' or 'Books'. However, considering the context and the casual tone, I would categorize it as 'Conversation'."
5348024557509055_f95_chunk_1_subchunk_1.wav,इलेक्ट्रॉनिक किताब भी आने लगे हैं या जिसे हम please note बोलते हैं पुस्तक ई किताब ऐसे बोलते,इलेक्ट्रॉनिक किताब भी आने लगे हैं या जिसे हम please note बोलते हैं पुस्तक ई किताब ऐसे बोलते,शिक्षा
