filename,ground_truth,normalized_transcripts,domain
5348024557507376_f754_chunk_2_subchunk_1.wav,chin कन के पास खेल को पहुँचने के लिए जागरूकता कार्यक्रम भी आयोजित करता during है,chin कन के पास खेल को पहुँचने के लिए जागरूकता कार्यक्रम भी आयोजित करता during है,"Based on the given normalized Hindi transcript, I would analyze it as follows:

- The transcript mentions ""खेल"" (khel), which means ""game"" in Hindi.
- It also mentions ""कन के पास"" (kan ke paas), which means ""near the canal"" or ""near the bank"".
- The phrase ""जागरूकता कार्यक्रम"" (jagruktaa karyakram) means ""awareness program"".

Considering these points, the general domain of the speech dataset appears to be related to ""Sports"" or more specifically ""Sports Awareness""."
5348024557507379_f2201_chunk_0_subchunk_1.wav,जब आप वार्षिक विवरण पढ़ते हैं हैं विशेष रूप से यदि आप कम्पनी से aprichit हैं तब आपको यहाँ से शुरुआत krnee चाहिए,जब आप वार्षिक विवरण पढ़ते हैं हैं विशेष रूप से यदि आप कम्पनी से aprichit हैं तब आपको यहाँ से शुरुआत krnee चाहिए,"आधिकारिक प्रारूप में हिंदी ट्रांसक्रिप्ट का विश्लेषण करने के बाद, मैंने निष्कर्ष निकाला है कि यह ट्रांसक्रिप्ट किसी प्रशिक्षण सामग्री के लिए उपयुक्त हो सकती है जो कर या कर प्रशासन से संबंधित है।

इसलिए, मैं इस ट्रांसक्रिप्ट के लिए 'कर प्रशासन' को एक उपयुक्त डोमेन के रूप में चुनता हूं।"
5348024557507383_f913_chunk_0_subchunk_1.wav,जितनी जल्दी हो सके ऑर्डर तैयार तैयार करो,जितनी जल्दी हो सके ऑर्डर तैयार तैयार करो,"Based on the given Hindi transcript, I would categorize the domain as 'Call Center'. 

The reason for this classification is that the transcript contains a phrase ""जितनी जल्दी हो सके ऑर्डर तैयार तैयार करो"" which translates to ""Prepare the order as soon as possible"". This kind of language is commonly used in call centers where customers are asking for urgent assistance or updates on their orders."
5348024557507385_f912_chunk_0_subchunk_1.wav,से ताज़ा ख़बर क्या,से ताज़ा ख़बर क्या,"Based on the given normalized Hindi transcript ""से ताज़ा ख़बर क्या"", I would determine the general domain of the speech dataset as ""News"". 

The words ""से ताज़ा"" (se taza) mean ""latest"" or ""fresh"", and ""खबर"" (khabar) means ""news"" in Hindi. The question ""क्या"" (kyaa) is a question word that is often used in news-related conversations to ask for information. Therefore, the context suggests that the speech dataset is likely from a news-related domain."
5348024557507386_f1627_chunk_0_subchunk_1.wav,मुझे प्राप्त दो पाउच [Pouch] त्रेहा सैलेक्ट [Select] पैरि [Peri] पैरि [Peri] चीकन [Chicken] वींग्स [Wings] के ऑर्डर [Order] में मात्रा सही नहीं है,मुझे प्राप्त दो पाउच  त्रेहा सैलेक्ट  पैरि  पैरि  चीकन  वींग्स  के ऑर्डर  में मात्रा सही नहीं है,"आधारित परीक्षण के बाद, मैंने निष्कर्ष निकाला है कि यह स्पीच डेटा का क्षेत्र 'शिकायत' है।"
5348024557507389_f1880_chunk_0_subchunk_1.wav,क्रेयॉ[START]न<b> [#$%Crayon] के ऑफ़र [Offer] वाल</b>े सभी ब्रांडों की सूची बनाएँ,क्रेयॉन  के ऑफ़र  वाले सभी ब्रांडों की सूची बनाएँ,"आधिकारिक हिंदी लेखन में ""क्रेयॉन"" को ""क्रेयॉन"" के बजाय ""क्रेयॉन्स"" लिखना चाहिए, लेकिन यहाँ यह ""क्रेयॉन"" ही लिखा गया है।

इस प्रश्न के आधार पर, मैं सोचता हूँ कि यह संभवतः एक ""शिक्षा"" या ""सामान्य ज्ञान"" संबंधी प्रश्न है, जैसे कि एक ऑनलाइन शिक्षा प्लेटफ़ॉर्म या एक ज्ञान संबंधी वेबसाइट पर पूछा गया हो।"
5348024557507390_f1881_chunk_0_subchunk_1.wav,एयरटेल मनी पर मेरी[START] संपर्क#$% सूची के,एयरटेल मनी पर मेरी संपर्क सूची के,आउटगोइंग कॉल्स को रोकने के लिए मैंने एयरटेल के ग्राहक सेवा को कॉल किया था।
5348024557507393_f2141_chunk_0_subchunk_1.wav,यह बिल्कुल गलत है।।करें स्कैन को कोड आर क्यू लिए के करने,यह बिल्कुल गलत है।।करें स्कैन को कोड आर क्यू लिए के करने,"आधिकारिक रूप से सामान्यीकृत हिंदी पाठ का विश्लेषण करने के बाद, मैंने निष्कर्ष निकाला है कि यह स्पीच डेटा का क्षेत्र 'स्वास्थ्य सेवा' हो सकता है।

यहाँ कारण हैं:

- 'स्कैन' शब्द का उपयोग अक्सर चिकित्सा परीक्षणों में किया जाता है, जैसे कि सीटी स्कैन या एमआरआई स्कैन।
- 'कोड आर क्यू' शब्द का उपयोग अक्सर चिकित्सा कोडिंग में किया जाता है, जैसे कि आईसीडी 10 कोडिंग।
- पूरे पाठ का संदर्भ चिकित्सा सेवाओं से संबंधित होने की संभावना है, जैसे कि डॉक्टरों या नर्सों के साथ बातचीत।"
5348024557507394_f1064_chunk_0_subchunk_1.wav,सात तीन एक छः शून्य तीन पाँच आठ शून्य दो शून्य सात शून्य दो शून्य दो एम हेच डी आई आवेदन पंजीकृत।यह बिल्कुल गलत है। एकदम सही बात है,सात तीन एक छः शून्य तीन पाँच आठ शून्य दो शून्य सात शून्य दो शून्य दो एम हेच डी आई आवेदन पंजीकृत।यह बिल्कुल गलत है। एकदम सही बात है,"आधारभूत विश्लेषण करने के बाद, मुझे लगता है कि यह स्पीच डेटा का डोमेन 'Call Center' हो सकता है। इसमें एक आवेदन पंजीकरण प्रक्रिया के दौरान हुई बातचीत के संकेत मिलते हैं।"
5348024557507394_f1064_chunk_1_subchunk_1.wav,और जन्मतिथि system बारह पाँच दो हज़ार बाईस के लिए सभी ताजा छात्रवृत्ति आवेदन ढूंढ़ें एकदम सही बात है,और जन्मतिथि system बारह पाँच दो हज़ार बाईस के लिए सभी ताजा छात्रवृत्ति आवेदन ढूंढ़ें एकदम सही बात है,आधारित विश्लेषण से यह पता चलता है कि इस हिंदी ट्रांसक्रिप्ट का क्षेत्र 'शिक्षा' है।
5348024557507397_f1882_chunk_0_subchunk_1.wav,आई पी एफ ओ साइन please note इन ओ tee पी मोबाइल नम्बर nau आठ छः छः एक छः चार एक शून्य नौ तीन पर भेज दिया गया है,आई पी एफ ओ साइन please note इन ओ tee पी मोबाइल नम्बर nau आठ छः छः एक छः चार एक शून्य नौ तीन पर भेज दिया गया है,"आधारित विश्लेषण के बाद, मुझे लगता है कि इस हिंदी ट्रांसक्रिप्ट का डोमेन 'Call Center' हो सकता है। इसमें एक ग्राहक के द्वारा अपना मोबाइल नंबर शेयर करने की बात की जा रही है, जो कॉल सेंटर के संवाद का एक आम हिस्सा है।"
5348024557507398_f2204_chunk_0_subchunk_1.wav,paln,paln,"Based on the given normalized Hindi transcript ""paln"", it appears to be a single word. 

The word ""paln"" is likely a misspelling or a typo of the Hindi word ""पालन"" (palan), which means ""care"" or ""nurture"". 

However, considering the context and the general domain of the speech dataset, I would categorize it as ""Conversation"" or possibly ""Interview"" since it seems like a single word or a short phrase that might be part of a larger conversation or interview."
5348024557507406_f1883_chunk_0_subchunk_1.wav,बंद,बंद,"Based on the given normalized Hindi transcript ""बंद"", I would determine the general domain of the speech dataset as ""News"". 

The word ""बंद"" (band) can be translated to English as ""closed"" or ""shutdown"", which is often used in news headlines to indicate that a business, school, or other institution has closed down."
5348024557507412_f121_chunk_0_subchunk_1.wav,चंगलपेट तिरुवल्लूर,चंगलपेट तिरुवल्लूर,"Based on the given Hindi transcript ""चंगलपेट तिरुवल्लूर"", I would analyze it as a geographical location. 

The domain of the speech dataset appears to be 'Location' or more specifically 'Geography'."
5348024557507422_f572_chunk_0_subchunk_1.wav,मैं उन्हें यह बताते हुए शुरुआत करूंगी कि यह मेरी पसंदीदा डिश [Dish] में से एक है और यही कारण है कि मैंने इसे बनाया था,मैं उन्हें यह बताते हुए शुरुआत करूंगी कि यह मेरी पसंदीदा डिश  में से एक है और यही कारण है कि मैंने इसे बनाया था,"आधारित परीक्षण के बाद, मैंने निष्कर्ष निकाला है कि इस हिंदी ट्रांसक्रिप्ट का क्षेत्र है: 'Conversation' या 'Food'. 

यह ट्रांसक्रिप्ट एक व्यक्ति की अपनी पसंदीदा डिश बनाने के बारे में बात करते हुए दिखाई देती है, जो एक सामान्य संवाद का हिस्सा हो सकता है।"
