filename,ground_truth,vocab_list
5348024557506147_f694_chunk_9_subchunk_1.wav,खुला,['खुला']
5348024557506151_f743_chunk_0_subchunk_1.wav,मेरे राज्य गुजरात में एन्टर्टेनमेन्ट इन्डस्ट्री,"['इन्डस्ट्री', 'में', 'राज्य', 'गुजरात', 'मेरे', 'एन्टर्टेनमेन्ट']"
5348024557506151_f743_chunk_1_subchunk_1.wav,वह है गुजराती फ़िल्म इंडस्ट्री को कैसे खड़ा किया जा सके पिछले दस बारह सालों से यह प्रयास,"['बारह', 'खड़ा', 'सालों', 'फ़िल्म', 'इंडस्ट्री', 'सके', 'दस', 'यह', 'प्रयास', 'वह', 'को', 'से', 'पिछले', 'जा', 'है', 'किया', 'कैसे', 'गुजराती']"
5348024557506151_f743_chunk_2_subchunk_1.wav,के प्रयास किए हैं लेकिन ज़्यादातर ऐसा,"['लेकिन', 'हैं', 'प्रयास', 'किए', 'ज़्यादातर', 'ऐसा', 'के']"
5348024557506151_f743_chunk_3_subchunk_1.wav,वह गुजराती कॉमेडी नाटकों का फ़िल्म रूपांतर बन कर रह गई है,"['नाटकों', 'रूपांतर', 'फ़िल्म', 'कर', 'वह', 'बन', 'रह', 'गई', 'का', 'है', 'गुजराती', 'कॉमेडी']"
5348024557506151_f743_chunk_4_subchunk_1.wav,और दर्शक,"['दर्शक', 'और']"
5348024557506151_f743_chunk_5_subchunk_1.wav,पहले से ही हिंदी फ़िल्मों के और हिंदी कंटेंट,"['हिंदी', 'कंटेंट', 'फ़िल्मों', 'के', 'ही', 'और', 'पहले', 'से']"
5348024557506151_f743_chunk_6_subchunk_1.wav,फ़िल्मों के प्रति इतने जल्दी आकर्षित नहीं होते हैं तो अगर वह मल्टीप्लेक्स में जाते हैं और उनके पास अगर दो विकल्प हैं,"['अगर', 'फ़िल्मों', 'होते', 'इतने', 'मल्टीप्लेक्स', 'प्रति', 'में', 'उनके', 'विकल्प', 'हैं', 'आकर्षित', 'जल्दी', 'जाते', 'पास', 'नहीं', 'और', 'के', 'दो', 'वह', 'तो']"
5348024557506151_f743_chunk_7_subchunk_1.wav,जब से ओ टी टी आया है इन्टरनेट आया है सोशल मीडिया आया है तब,"['सोशल', 'मीडिया', 'टी', 'आया', 'तब', 'ओ', 'इन्टरनेट', 'जब', 'है', 'से']"
5348024557506158_f697_chunk_0_subchunk_1.wav,हमारे सौर मंडल में पृथ्वी,"['में', 'मंडल', 'हमारे', 'पृथ्वी', 'सौर']"
5348024557506158_f697_chunk_10_subchunk_1.wav,तो क्या ऐसा,"['क्या', 'ऐसा', 'तो']"
5348024557506158_f697_chunk_11_subchunk_1.wav,आज के दौर में वहाँ पर विकसित जीव सृष्टि पनप,"['जीव', 'में', 'आज', 'पर', 'पनप', 'दौर', 'सृष्टि', 'विकसित', 'वहाँ', 'के']"
5348024557506158_f697_chunk_1_subchunk_1.wav,जीव सृष्टि है ऐसे कोई प्रमाण नहीं मिले हैं मंगल पर जीव सृष्टि होने की थ्योरीज़ काफ़ी दशकों से चलती आ रही,"['प्रमाण', 'दशकों', 'की', 'थ्योरीज़', 'सृष्टि', 'चलती', 'काफ़ी', 'है', 'जीव', 'हैं', 'आ', 'मंगल', 'नहीं', 'होने', 'ऐसे', 'रही', 'से', 'मिले', 'कोई', 'पर']"
5348024557506158_f697_chunk_2_subchunk_1.wav,लेकिन जहाँ तक हमें मार्स रोवर,"['जहाँ', 'रोवर', 'लेकिन', 'हमें', 'तक', 'मार्स']"
5348024557506158_f697_chunk_3_subchunk_1.wav,वहाँ,['वहाँ']
5348024557506158_f697_chunk_4_subchunk_1.wav,अगर जीव सृष्टी है तो वह,"['जीव', 'अगर', 'वह', 'तो', 'है', 'सृष्टी']"
5348024557506158_f697_chunk_5_subchunk_1.wav,हम,['हम']
5348024557506158_f697_chunk_6_subchunk_1.wav,एक्सटर्नल लाइफ ऑन अदर प्लनेट्स की व्याख्या में रखें ऐसी कोई जीव,"['अदर', 'व्याख्या', 'जीव', 'ऑन', 'में', 'रखें', 'की', 'प्लनेट्स', 'ऐसी', 'लाइफ', 'कोई', 'एक्सटर्नल']"
5348024557506158_f697_chunk_7_subchunk_1.wav,और जहाँ तक मुझे आकर्षित करने वाली थियरीज़ की बात है तो,"['करने', 'मुझे', 'जहाँ', 'की', 'आकर्षित', 'है', 'थियरीज़', 'बात', 'तो', 'वाली', 'तक', 'और']"
5348024557506158_f697_chunk_8_subchunk_1.wav,लाखों प्रकाश वर्ष दूर है करोड़ों प्रकाश वर्ष दूर है,"['वर्ष', 'प्रकाश', 'दूर', 'करोड़ों', 'लाखों', 'है']"
5348024557506158_f697_chunk_9_subchunk_1.wav,अपने साथ जो इन्फर्मेशन लाता है,"['अपने', 'साथ', 'इन्फर्मेशन', 'लाता', 'है', 'जो']"
5348024557506159_f698_chunk_0_subchunk_1.wav,हमारे राज्य में कृषि को ज़्यादा असर पहुँचाने वाले,"['पहुँचाने', 'में', 'वाले', 'कृषि', 'हमारे', 'को', 'ज़्यादा', 'असर', 'राज्य']"
5348024557506159_f698_chunk_10_subchunk_1.wav,जहाँ तक किसानों की,"['तक', 'जहाँ', 'की', 'किसानों']"
5348024557506159_f698_chunk_11_subchunk_1.wav,,['nan']
5348024557506159_f698_chunk_12_subchunk_1.wav,ऐसी बेमौसम,"['बेमौसम', 'ऐसी']"
5348024557506159_f698_chunk_13_subchunk_1.wav,ज़्यादा बारिश की वजह से अपनी फसल में होने वाले नुकसान के,"['होने', 'बारिश', 'में', 'की', 'वाले', 'के', 'वजह', 'अपनी', 'नुकसान', 'फसल', 'ज़्यादा', 'से']"
5348024557506159_f698_chunk_14_subchunk_1.wav,हर संभव प्रयास,"['संभव', 'हर', 'प्रयास']"
5348024557506159_f698_chunk_15_subchunk_1.wav,कभी कभार मुआवजों में कमी या फिर मुआवजे देरी से,"['कभार', 'में', 'मुआवजों', 'मुआवजे', 'देरी', 'फिर', 'कमी', 'कभी', 'या', 'से']"
